425578 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
425578 write(8, "LOG_START_wsgi ,TS=1715882229.06"..., 38) = 38
426009 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
426009 write(8, "LOG_START_wsgi ,TS=1715882238.93"..., 38) = 38
426009 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
426009 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
426009 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
426009 write(8, "PID = \n425109\n", 14) = 14
426009 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
426009 write(8, "TID = \n426009\n", 14) = 14
426009 write(3, "INFO:werkzeug:TID = \n426009\n", 28) = 28
426009 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
426009 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
426009 write(8, "LOG_STOP_wsgi, TS=1715882238.937"..., 37) = 37
426009 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
426009 write(1, "#*# REQ_SEND\n", 13)   = 13
426009 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
426009 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
426011 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
426011 write(8, "LOG_START_wsgi ,TS=1715882238.94"..., 38) = 38
426011 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
426011 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
426011 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
426011 write(8, "PID = \n425109\n", 14) = 14
426011 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
426011 write(8, "TID = \n426011\n", 14) = 14
426011 write(3, "INFO:werkzeug:TID = \n426011\n", 28) = 28
426011 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
426011 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
426011 write(8, "LOG_STOP_wsgi, TS=1715882238.943"..., 37) = 37
426011 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
426011 write(1, "#*# REQ_SEND\n", 13)   = 13
426011 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
426011 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
426009 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
426009 write(2, "{\"message\": \"Response <Response "..., 202) = 202
426009 write(1, "*#* RES_REC\n", 12)    = 12
426009 write(8, "REC_DATA_SIZE=53\n", 17) = 17
426009 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
426009 write(11, "\"{}\"", 4)           = 4
426009 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
426009 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
426014 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
426009 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
426014 write(8, "LOG_START_wsgi ,TS=1715882238.95"..., 38 <unfinished ...>
426014 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
426014 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146 <unfinished ...>
426014 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
426014 write(8, "PID = \n425109\n", 14) = 14
426014 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
426014 write(8, "TID = \n426014\n", 14) = 14
426014 write(3, "INFO:werkzeug:TID = \n426014\n", 28) = 28
426014 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
426014 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
426014 write(8, "LOG_STOP_wsgi, TS=1715882238.951"..., 37) = 37
426014 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
426014 write(1, "#*# REQ_SEND\n", 13)   = 13
426014 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
426014 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
426011 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
426011 write(2, "{\"message\": \"Response <Response "..., 202) = 202
426011 write(1, "*#* RES_REC\n", 12)    = 12
426011 write(8, "REC_DATA_SIZE=53\n", 17 <unfinished ...>
426011 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31 <unfinished ...>
426011 write(13, "\"{}\"", 4)           = 4
426011 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
426011 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
426011 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
426018 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
426014 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
426018 write(8, "LOG_START_wsgi ,TS=1715882238.96"..., 38) = 38
426014 write(2, "{\"message\": \"Response <Response "..., 202) = 202
426018 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52 <unfinished ...>
426014 write(1, "*#* RES_REC\n", 12 <unfinished ...>
426018 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
426018 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160 <unfinished ...>
426014 write(8, "REC_DATA_SIZE=53\n", 17 <unfinished ...>
426014 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
426018 write(8, "PID = \n425109\n", 14) = 14
426018 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
426018 write(8, "TID = \n426018\n", 14) = 14
426018 write(3, "INFO:werkzeug:TID = \n426018\n", 28) = 28
426018 write(8, "post_data_form = \nImmutableMulti"..., 41 <unfinished ...>
426014 write(9, "\"{}\"", 4 <unfinished ...>
426018 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
426018 write(8, "LOG_STOP_wsgi, TS=1715882238.962"..., 37) = 37
426018 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51 <unfinished ...>
426018 write(1, "#*# REQ_SEND\n", 13)   = 13
426014 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
426018 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
426014 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
426014 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
426018 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
426019 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 364 <unfinished ...>
426019 write(8, "LOG_START_wsgi ,TS=1715882238.97"..., 37) = 37
426019 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 51) = 51
426019 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
426019 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
426019 write(8, "PID = \n425109\n", 14) = 14
426019 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
426019 write(8, "TID = \n426019\n", 14) = 14
426019 write(3, "INFO:werkzeug:TID = \n426019\n", 28) = 28
426019 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
426019 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
426019 write(8, "LOG_STOP_wsgi, TS=1715882238.970"..., 36) = 36
426019 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 50) = 50
426019 write(1, "#*# REQ_SEND\n", 13)   = 13
426019 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
426019 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
426023 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
426023 write(8, "LOG_START_wsgi ,TS=1715882238.97"..., 38) = 38
426023 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
426023 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
426023 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
426023 write(8, "PID = \n425109\n", 14) = 14
426023 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
426023 write(8, "TID = \n426023\n", 14) = 14
426023 write(3, "INFO:werkzeug:TID = \n426023\n", 28) = 28
426023 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
426018 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
426023 write(3, "INFO:werkzeug:post_data_form = \n"..., 55 <unfinished ...>
426018 write(2, "{\"message\": \"Response <Response "..., 202 <unfinished ...>
426023 write(8, "LOG_STOP_wsgi, TS=1715882238.976"..., 37 <unfinished ...>
426018 write(1, "*#* RES_REC\n", 12 <unfinished ...>
426023 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
426018 write(8, "REC_DATA_SIZE=53\n", 17) = 17
426023 write(1, "#*# REQ_SEND\n", 13 <unfinished ...>
426018 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31 <unfinished ...>
426023 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
426023 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
426018 write(13, "\"{}\"", 4)           = 4
426019 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
426019 write(2, "{\"message\": \"Response <Response "..., 202) = 202
426019 write(1, "*#* RES_REC\n", 12)    = 12
426018 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
426025 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 364) = 364
426019 write(8, "REC_DATA_SIZE=53\n", 17) = 17
426019 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
426018 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
426018 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
426025 write(8, "LOG_START_wsgi ,TS=1715882238.98"..., 37) = 37
426025 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 51) = 51
426025 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146 <unfinished ...>
426019 write(11, "\"{}\"", 4)           = 4
426025 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
426025 write(8, "PID = \n425109\n", 14) = 14
426019 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
426019 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
426025 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
426025 write(8, "TID = \n426025\n", 14 <unfinished ...>
426019 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83 <unfinished ...>
426025 write(3, "INFO:werkzeug:TID = \n426025\n", 28 <unfinished ...>
426025 write(8, "post_data_form = \nImmutableMulti"..., 41 <unfinished ...>
426025 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
426025 write(8, "LOG_STOP_wsgi, TS=1715882238.984"..., 36) = 36
426025 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 50) = 50
426025 write(1, "#*# REQ_SEND\n", 13)   = 13
426023 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
426025 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
426023 write(2, "{\"message\": \"Response <Response "..., 202) = 202
426023 write(1, "*#* RES_REC\n", 12)    = 12
426025 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
426023 write(8, "REC_DATA_SIZE=53\n", 17) = 17
426023 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
426023 write(11, "\"{}\"", 4)           = 4
426023 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
426023 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
426023 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
426025 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
426025 write(2, "{\"message\": \"Response <Response "..., 202) = 202
426025 write(1, "*#* RES_REC\n", 12)    = 12
426025 write(8, "REC_DATA_SIZE=53\n", 17) = 17
426025 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
426025 write(9, "\"{}\"", 4)            = 4
426025 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
426025 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
426025 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83 <unfinished ...>
426030 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
426030 write(8, "LOG_START_wsgi ,TS=1715882239.66"..., 38) = 38
426030 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
426030 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
426031 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
426030 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
426031 write(8, "LOG_START_wsgi ,TS=1715882239.66"..., 38) = 38
426031 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
426030 write(8, "PID = \n425109\n", 14) = 14
426030 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
426031 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
426031 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
426030 write(8, "TID = \n426030\n", 14) = 14
426031 write(8, "PID = \n425109\n", 14) = 14
426030 write(3, "INFO:werkzeug:TID = \n426030\n", 28) = 28
426030 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
426031 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
426031 write(8, "TID = \n426031\n", 14) = 14
426030 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
426030 write(8, "LOG_STOP_wsgi, TS=1715882239.664"..., 37) = 37
426031 write(3, "INFO:werkzeug:TID = \n426031\n", 28) = 28
426031 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
426030 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
426030 write(1, "#*# REQ_SEND\n", 13)   = 13
426030 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
426031 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
426031 write(8, "LOG_STOP_wsgi, TS=1715882239.667"..., 37) = 37
426030 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
426031 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
426031 write(1, "#*# REQ_SEND\n", 13)   = 13
426031 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
426031 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
426030 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
426030 write(2, "{\"message\": \"Response <Response "..., 202) = 202
426030 write(1, "*#* RES_REC\n", 12)    = 12
426030 write(8, "REC_DATA_SIZE=53\n", 17) = 17
426030 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
426030 write(11, "\"{}\"", 4)           = 4
426031 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
426031 write(2, "{\"message\": \"Response <Response "..., 202) = 202
426030 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
426031 write(1, "*#* RES_REC\n", 12)    = 12
426030 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
426030 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
426031 write(8, "REC_DATA_SIZE=53\n", 17 <unfinished ...>
426031 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
426031 write(11, "\"{}\"", 4)           = 4
426031 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
426031 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
426031 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
426036 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 363) = 363
426036 write(8, "LOG_START_wsgi ,TS=1715882239.94"..., 36) = 36
426036 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 50) = 50
426036 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
426036 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
426036 write(8, "PID = \n425109\n", 14) = 14
426036 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
426036 write(8, "TID = \n426036\n", 14) = 14
426036 write(3, "INFO:werkzeug:TID = \n426036\n", 28) = 28
426036 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
426036 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
426036 write(8, "LOG_STOP_wsgi, TS=1715882239.946"..., 35) = 35
426036 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 49) = 49
426036 write(1, "#*# REQ_SEND\n", 13)   = 13
426036 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
426036 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
426036 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
426036 write(2, "{\"message\": \"Response <Response "..., 202) = 202
426036 write(1, "*#* RES_REC\n", 12)    = 12
426036 write(8, "REC_DATA_SIZE=53\n", 17) = 17
426036 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
426036 write(11, "\"{}\"", 4)           = 4
426036 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
426036 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
426036 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
426039 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
426039 write(8, "LOG_START_wsgi ,TS=1715882239.96"..., 38) = 38
426039 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
426039 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
426039 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
426039 write(8, "PID = \n425109\n", 14) = 14
426039 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
426039 write(8, "TID = \n426039\n", 14) = 14
426039 write(3, "INFO:werkzeug:TID = \n426039\n", 28) = 28
426039 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
426039 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
426039 write(8, "LOG_STOP_wsgi, TS=1715882239.962"..., 37) = 37
426039 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
426039 write(1, "#*# REQ_SEND\n", 13)   = 13
426039 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
426039 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
426041 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
426041 write(8, "LOG_START_wsgi ,TS=1715882239.96"..., 38) = 38
426041 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
426041 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
426041 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
426041 write(8, "PID = \n425109\n", 14) = 14
426041 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
426041 write(8, "TID = \n426041\n", 14) = 14
426041 write(3, "INFO:werkzeug:TID = \n426041\n", 28) = 28
426041 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
426041 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
426041 write(8, "LOG_STOP_wsgi, TS=1715882239.969"..., 37) = 37
426041 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
426041 write(1, "#*# REQ_SEND\n", 13)   = 13
426041 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
426041 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
426039 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
426039 write(2, "{\"message\": \"Response <Response "..., 202) = 202
426039 write(1, "*#* RES_REC\n", 12)    = 12
426039 write(8, "REC_DATA_SIZE=53\n", 17) = 17
426039 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31 <unfinished ...>
426039 write(11, "\"{}\"", 4)           = 4
426039 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
426039 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
426039 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
426045 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 363) = 363
426045 write(8, "LOG_START_wsgi ,TS=1715882239.97"..., 36) = 36
426045 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 50) = 50
426045 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
426045 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
426045 write(8, "PID = \n425109\n", 14) = 14
426045 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
426045 write(8, "TID = \n426045\n", 14) = 14
426045 write(3, "INFO:werkzeug:TID = \n426045\n", 28) = 28
426045 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
426041 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
426045 write(3, "INFO:werkzeug:post_data_form = \n"..., 55 <unfinished ...>
426041 write(2, "{\"message\": \"Response <Response "..., 202 <unfinished ...>
426045 write(8, "LOG_STOP_wsgi, TS=1715882239.979"..., 35 <unfinished ...>
426041 write(1, "*#* RES_REC\n", 12 <unfinished ...>
426045 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 49) = 49
426041 write(8, "REC_DATA_SIZE=53\n", 17) = 17
426045 write(1, "#*# REQ_SEND\n", 13 <unfinished ...>
426041 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31 <unfinished ...>
426045 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
426045 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
426041 write(11, "\"{}\"", 4)           = 4
426041 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
426041 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
426041 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
426045 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
426045 write(2, "{\"message\": \"Response <Response "..., 202) = 202
426045 write(1, "*#* RES_REC\n", 12)    = 12
426045 write(8, "REC_DATA_SIZE=53\n", 17) = 17
426045 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
426045 write(11, "\"{}\"", 4)           = 4
426045 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
426045 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
426045 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
426048 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365 <unfinished ...>
426048 write(8, "LOG_START_wsgi ,TS=1715882240.00"..., 38 <unfinished ...>
426048 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
426048 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
426049 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
426048 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
426048 write(8, "PID = \n425109\n", 14) = 14
426048 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
426049 write(8, "LOG_START_wsgi ,TS=1715882240.00"..., 38) = 38
426048 write(8, "TID = \n426048\n", 14) = 14
426049 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
426050 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
426049 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
426048 write(3, "INFO:werkzeug:TID = \n426048\n", 28) = 28
426049 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
426050 write(8, "LOG_START_wsgi ,TS=1715882240.00"..., 38) = 38
426050 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52 <unfinished ...>
426048 write(8, "post_data_form = \nImmutableMulti"..., 41 <unfinished ...>
426048 write(3, "INFO:werkzeug:post_data_form = \n"..., 55 <unfinished ...>
426049 write(8, "PID = \n425109\n", 14 <unfinished ...>
426049 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
426050 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
426050 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160 <unfinished ...>
426049 write(8, "TID = \n426049\n", 14 <unfinished ...>
426049 write(3, "INFO:werkzeug:TID = \n426049\n", 28 <unfinished ...>
426048 write(8, "LOG_STOP_wsgi, TS=1715882240.001"..., 37 <unfinished ...>
426048 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
426050 write(8, "PID = \n425109\n", 14 <unfinished ...>
426048 write(1, "#*# REQ_SEND\n", 13 <unfinished ...>
426050 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
426049 write(8, "post_data_form = \nImmutableMulti"..., 41 <unfinished ...>
426048 write(2, "{\"message\": \"Get with url http:/"..., 353 <unfinished ...>
426049 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
426050 write(8, "TID = \n426050\n", 14) = 14
426050 write(3, "INFO:werkzeug:TID = \n426050\n", 28) = 28
426049 write(8, "LOG_STOP_wsgi, TS=1715882240.002"..., 37) = 37
426048 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
426050 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
426049 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
426049 write(1, "#*# REQ_SEND\n", 13)   = 13
426049 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
426050 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
426050 write(8, "LOG_STOP_wsgi, TS=1715882240.004"..., 37) = 37
426050 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
426050 write(1, "#*# REQ_SEND\n", 13)   = 13
426050 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
426049 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
426050 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79 <unfinished ...>
426048 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
426048 write(2, "{\"message\": \"Response <Response "..., 202) = 202
426048 write(1, "*#* RES_REC\n", 12)    = 12
426048 write(8, "REC_DATA_SIZE=53\n", 17) = 17
426048 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
426048 write(13, "\"{}\"", 4)           = 4
426048 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
426048 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
426048 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
426049 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
426049 write(2, "{\"message\": \"Response <Response "..., 202) = 202
426049 write(1, "*#* RES_REC\n", 12)    = 12
426049 write(8, "REC_DATA_SIZE=53\n", 17) = 17
426049 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
426049 write(9, "\"{}\"", 4)            = 4
426049 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
426049 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
426049 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
426050 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
